Type,SKU,Name,Published,Categories,Tags,Short description,Description,Tax status,Tax class,Stock,Regular price,Meta: allergens,Meta: spice_level,Meta: dietary_info
simple,HK-VM-008,Dum Aloo,1,"Main Courses & Curries","veg,main,potato,curry,creamy","Baby potatoes in rich Kashmiri-style gravy","Baby potatoes cooked in a rich, aromatic Kashmiri-style gravy with yogurt and spices.",taxable,,instock,6.00,"Dairy (yogurt, may contain cream), Cashews (may contain)",Medium,"Contains: Dairy, May contain nuts, Vegetarian"
simple,HK-VM-009,Yellow Daal Tadka,1,"Main Courses & Curries","veg,main,lentils,daal,vegan-friendly","Yellow lentils tempered with cumin and garlic","Comfort food - yellow lentils (moong/toor dal) cooked to perfection and tempered with ghee, cumin, garlic and spices.",taxable,,instock,4.00,"Dairy (ghee/butter for tadka)",Mild,"Contains: Dairy, Vegetarian, Vegan-adaptable"
simple,HK-SP-001,Gobhi Stuffed Paratha,1,"Breads & Rolls","veg,bread,paratha,cauliflower","Whole wheat flatbread stuffed with spiced cauliflower","Flaky whole wheat paratha generously stuffed with spiced, grated cauliflower - golden-crisp on the outside, soft and flavorful inside. Served with cooling raita or zesty green chutney.",taxable,,instock,3.00,"Gluten (wheat), Dairy (may contain)",Mild,"Contains: Gluten, Vegetarian"
simple,HK-SP-002,Aloo Stuffed Paratha,1,"Breads & Rolls","veg,bread,paratha,potato,popular","Whole wheat flatbread stuffed with spiced potatoes","Classic Indian flatbread stuffed with seasoned mashed potatoes. Perfect breakfast or meal. Served with green chutney or raita.",taxable,,instock,3.00,"Gluten (wheat), Dairy (may contain)",Mild,"Contains: Gluten, Vegetarian"
simple,HK-SP-003,Paneer Stuffed Paratha,1,"Breads & Rolls","veg,bread,paratha,paneer","Whole wheat flatbread stuffed with spiced cottage cheese","Buttery paratha filled with fragrant, spiced cottage cheese and fresh herbs - each bite a perfect blend of crispy, flaky layers and creamy, savory filling. Served with cooling raita or zesty green chutney.",taxable,,instock,3.00,"Gluten (wheat), Dairy (paneer)",Mild,"Contains: Gluten, Dairy, Vegetarian"
simple,HK-SP-004,Cheese and Onion Stuffed Paratha,1,"Breads & Rolls","veg,bread,paratha,cheese","Whole wheat flatbread stuffed with cheese and onions","Fusion paratha stuffed with cheese and onions for a delicious savory breakfast. Served with green chutney or raita.",taxable,,instock,3.00,"Gluten (wheat), Dairy (cheese)",Mild,"Contains: Gluten, Dairy, Vegetarian"
simple,HK-CM-001,Aloo Matar with 8 Kachoris,1,"Combo Meals","veg,combo,potato","8 crispy kachoris served with potato and pea curry","Popular North Indian combo - 8 crispy, flaky kachoris (deep-fried pastries) served with spiced potato and pea curry (aloo matar).",taxable,,instock,5.00,"Gluten (wheat), May contain dairy",Medium,"Contains: Gluten, Vegetarian"
simple,HK-CM-002,Chilli Paneer with Veg Noodles,1,"Combo Meals","veg,combo,indo-chinese,paneer,noodles,spicy","Chilli paneer served with stir-fried vegetable noodles","Indo-Chinese combo featuring spicy chilli paneer with stir-fried vegetable noodles.",taxable,,instock,6.00,"Dairy (paneer), Gluten (noodles), Soy sauce",Medium to Hot,"Contains: Dairy, Gluten, Soy, Spicy, Vegetarian"
simple,HK-CM-003,Paneer Kathi Roll,1,"Combo Meals","veg,combo,roll,paneer,street-food","Paneer tikka wrapped in paratha with chutney","Paneer tikka pieces wrapped in soft paratha with onions, peppers and tangy chutney. Classic street food.",taxable,,instock,5.00,"Gluten (wheat), Dairy (paneer)",Medium,"Contains: Gluten, Dairy, Vegetarian"
simple,HK-VBR-001,Veg Biryani w/ Raita (1000ml Box),1,"Biryani & Rice","veg,biryani,rice,popular","Aromatic basmati rice with mixed vegetables, served with raita","Fragrant basmati rice layered with mixed vegetables, herbs and aromatic spices, slow-cooked to perfection. Served with raita.",taxable,,instock,7.00,"Dairy (yogurt in raita), Cashews (may contain)",Medium,"Contains: Dairy, Vegetarian"
simple,HK-VBR-002,Veg Noodles,1,Noodles,"veg,noodles,indo-chinese,vegan-friendly","Stir-fried noodles with mixed vegetables","Silky hakka noodles wok-tossed with crisp, colorful vegetables in savory sauces and aromatic seasonings. Slightly charred, perfectly springy - street food heaven in every slurp.",taxable,,instock,4.00,"Gluten (noodles), Soy sauce",Mild to Medium,"Contains: Gluten, Soy, Vegetarian, Vegan-adaptable"
simple,HK-VBR-003,Veg Fried Rice,1,"Biryani & Rice","veg,rice,indo-chinese,vegan-friendly","Indo-Chinese style fried rice with vegetables","Perfectly wok-charred rice studded with colorful crisp vegetables, kissed with savory soy and aromatic spices. Each grain separate, flavorful, and slightly smoky - pure Indo-Chinese comfort.",taxable,,instock,4.00,"Soy sauce, Gluten (may contain)",Mild,"Contains: Soy, Vegetarian, Vegan-adaptable"
simple,HK-VBR-004,Phulka Roti (3 pcs),1,"Breads & Rolls","veg,bread,roti,vegan-friendly","3 soft whole wheat Indian flatbreads","Warm, pillowy whole wheat flatbreads puffed to perfection over an open flame - soft, slightly charred, and wonderfully aromatic. The essential accompaniment to any curry.",taxable,,instock,1.00,"Gluten (wheat)",None,"Contains: Gluten, Vegetarian, Vegan"
